season,week,n_qualifying_legs,n_top_legs,n_tickets,n_positive_ev,n_selected,max_leg_exposure,units,wins,week_profit_loss,block,scenario,procedure,american_2team,american_3team
2023,8,3,3,4,3,3,2,3.0,1,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,9,3,3,4,3,3,2,3.0,1,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,10,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,11,5,4,10,6,3,2,3.0,1,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,12,3,3,4,3,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,13,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,14,3,3,4,3,3,2,3.0,3,3.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,15,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,17,2,2,1,1,1,1,1.0,1,1.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,18,3,3,4,3,3,2,3.0,3,3.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,19,2,2,1,1,1,1,1.0,1,1.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,20,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2023,22,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-100,
2018,1,3,3,4,3,3,2,3.0,3,2.727272727272727,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,2,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,3,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,4,4,4,10,6,3,2,3.0,3,2.727272727272727,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,6,3,3,4,3,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,7,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,8,4,4,10,6,3,2,3.0,3,2.727272727272727,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,9,3,3,4,3,3,2,3.0,3,2.727272727272727,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,10,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,11,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,13,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,15,5,4,10,6,3,2,3.0,0,-3.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,16,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,17,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2018,18,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,1,2,2,1,1,1,1,1.0,1,0.9090909090909091,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,2,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,3,3,3,4,3,3,2,3.0,3,2.727272727272727,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,4,3,3,4,3,3,2,3.0,1,-1.0909090909090908,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,7,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,11,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,13,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,16,3,3,4,3,3,2,3.0,1,-1.0909090909090908,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,17,2,2,1,1,1,1,1.0,1,0.9090909090909091,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2019,18,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2020,1,3,3,4,3,3,2,3.0,3,2.727272727272727,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2020,2,3,3,4,3,3,2,3.0,3,2.727272727272727,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2020,3,3,3,4,3,3,2,3.0,3,2.727272727272727,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2020,4,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
2020,5,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-110,
