leg_id,season,week,game_type,gameday,game_id,league,team,opponent,side,archived_reference_line,source_spread_line,teased_line,game_total,geometry_class,track,shape,side_class,secondary_reason,key_numbers_crossed,p_raw,bump,p_est,total_ok,final_margin,home_score,away_score,outcome,won,cover_margin,total_bucket,p_est_bucket,line_provenance,rank
2021_11_NO_PHI-NO,2021,11,REG,2021-11-21,2021_11_NO_PHI,NFL,NO,PHI,away,2.5,2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,-11,40,29,LOSS,0.0,-2.5,40.5-43,>=74%,archived_reference_line,1
2021_11_ARI_SEA-ARI,2021,11,REG,2021-11-21,2021_11_ARI_SEA,NFL,ARI,SEA,away,2.5,2.5,8.5,46.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6681398851771989,0.07,0.738139885177199,True,10,13,23,WIN,1.0,18.5,45.5-47,72-73.9%,archived_reference_line,2
2021_12_TEN_NE-NE,2021,12,REG,2021-11-28,2021_12_TEN_NE,NFL,NE,TEN,home,-7.5,7.5,-1.5,43.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6790759056139628,0.07,0.7490759056139629,True,23,36,13,WIN,1.0,21.5,40.5-43,>=74%,archived_reference_line,1
2021_12_ATL_JAX-JAX,2021,12,REG,2021-11-28,2021_12_ATL_JAX,NFL,JAX,ATL,home,1.5,-1.5,7.5,46.0,PRIMARY,LIVE,+1.5,DOG,,2,0.6681398851771989,0.07,0.738139885177199,True,-7,14,21,WIN,1.0,0.5,45.5-47,72-73.9%,archived_reference_line,2
2021_13_ARI_CHI-ARI,2021,13,REG,2021-12-05,2021_13_ARI_CHI,NFL,ARI,CHI,away,-7.5,-7.5,-1.5,43.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6771593818727903,0.07,0.7471593818727904,True,11,22,33,WIN,1.0,9.5,43.5-45,>=74%,archived_reference_line,1
2021_13_DEN_KC-KC,2021,13,REG,2021-12-05,2021_13_DEN_KC,NFL,KC,DEN,home,-8.5,8.5,-2.5,46.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6664412874896358,0.07,0.7364412874896358,True,13,22,9,WIN,1.0,10.5,45.5-47,72-73.9%,archived_reference_line,2
2021_14_ATL_CAR-ATL,2021,14,REG,2021-12-12,2021_14_ATL_CAR,NFL,ATL,CAR,away,2.5,2.5,8.5,41.0,PRIMARY,LIVE,+2.5,DOG,,2,0.6871559720637167,0.07,0.7571559720637167,True,8,21,29,WIN,1.0,16.5,40.5-43,>=74%,archived_reference_line,1
2021_14_JAX_TEN-TEN,2021,14,REG,2021-12-12,2021_14_JAX_TEN,NFL,TEN,JAX,home,-8.5,8.5,-2.5,44.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6734422108808652,0.07,0.7434422108808652,True,20,20,0,WIN,1.0,17.5,43.5-45,>=74%,archived_reference_line,2
2021_15_SEA_LA-LA,2021,15,REG,2021-12-21,2021_15_SEA_LA,NFL,LA,SEA,home,-7.5,7.5,-1.5,47.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.664775519361947,0.07,0.734775519361947,True,10,20,10,WIN,1.0,8.5,45.5-47,72-73.9%,archived_reference_line,1
2021_16_DET_ATL-ATL,2021,16,REG,2021-12-26,2021_16_DET_ATL,NFL,ATL,DET,home,-7.5,7.5,-1.5,42.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6810325947045215,0.07,0.7510325947045215,True,4,20,16,WIN,1.0,2.5,40.5-43,>=74%,archived_reference_line,1
2021_16_JAX_NYJ-JAX,2021,16,REG,2021-12-26,2021_16_JAX_NYJ,NFL,JAX,NYJ,away,2.5,2.5,8.5,42.5,PRIMARY,LIVE,+2.5,DOG,,2,0.6810325947045215,0.07,0.7510325947045215,True,-5,26,21,WIN,1.0,3.5,40.5-43,>=74%,archived_reference_line,2
2021_16_BAL_CIN-CIN,2021,16,REG,2021-12-26,2021_16_BAL_CIN,NFL,CIN,BAL,home,-7.5,7.5,-1.5,43.0,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6790759056139628,0.07,0.7490759056139629,True,20,41,21,WIN,1.0,18.5,40.5-43,>=74%,archived_reference_line,3
2021_16_CLE_GB-GB,2021,16,REG,2021-12-25,2021_16_CLE_GB,NFL,GB,CLE,home,-7.5,7.5,-1.5,46.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6664412874896358,0.07,0.7364412874896358,True,2,24,22,WIN,1.0,0.5,45.5-47,72-73.9%,archived_reference_line,4
2021_17_DET_SEA-SEA,2021,17,REG,2022-01-02,2021_17_DET_SEA,NFL,SEA,DET,home,-8.5,8.5,-2.5,41.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6850713499837193,0.07,0.7550713499837194,True,22,51,29,WIN,1.0,19.5,40.5-43,>=74%,archived_reference_line,1
2021_17_LV_IND-IND,2021,17,REG,2022-01-02,2021_17_LV_IND,NFL,IND,LV,home,-8.5,8.5,-2.5,46.5,PRIMARY,LIVE,-8.5,FAVORITE,,2,0.6664412874896358,0.07,0.7364412874896358,True,-3,20,23,LOSS,0.0,-5.5,45.5-47,72-73.9%,archived_reference_line,2
2021_19_PHI_TB-TB,2021,19,WC,2022-01-16,2021_19_PHI_TB,NFL,TB,PHI,home,-7.5,7.5,-1.5,45.5,PRIMARY,LIVE,-7.5,FAVORITE,,2,0.6698722507821999,0.07,0.7398722507822,True,16,31,15,WIN,1.0,14.5,45.5-47,72-73.9%,archived_reference_line,1
